"event","data"
"keypress=o","31.019767999649048"
"wait","31.518177032470703"
"jitter","32.51899790763855"
"end time","32.5190110206604"
"keypress=left","37.02073788642883"
"wait","37.52063202857971"
"jitter","38.5213258266449"
"end time","38.52133798599243"
"keypress=right","43.022053956985474"
"wait","43.522526025772095"
"jitter","44.52286696434021"
"end time","44.52287697792053"
"keypress=left","49.02537393569946"
"wait","49.52460193634033"
"jitter","50.52477788925171"
"end time","50.52479100227356"
"keypress=right","53.00969886779785"
"wait","53.5098979473114"
"jitter","54.51027989387512"
"end time","54.51029181480408"
"keypress=right","58.01089882850647"
"wait","58.511772871017456"
"jitter","59.51143193244934"
"end time","59.51144289970398"
"keypress=left","64.0134859085083"
"wait","64.51324892044067"
"jitter","65.51345086097717"
"end time","65.51346397399902"
"keypress=right","69.01602101325989"
"wait","69.51598381996155"
"jitter","70.51574492454529"
"end time","70.51575803756714"
"keypress=left","75.0178759098053"
"wait","75.51805281639099"
"jitter","76.51838088035583"
"end time","76.51839303970337"
"keypress=right","80.01986694335938"
"wait","80.51983189582825"
"jitter","81.51948189735413"
"end time","81.51949381828308"
"keypress=left","85.0211889743805"
"wait","85.52151584625244"
"jitter","86.5217719078064"
"end time","86.52178502082825"
"keypress=right","89.02263689041138"
"wait","89.52316904067993"
"jitter","90.52330589294434"
"end time","90.52332282066345"
"keypress=left","93.02376389503479"
"wait","93.52372097969055"
"jitter","94.524817943573"
"end time","94.52483081817627"
"keypress=right","98.0087239742279"
"wait","98.50872492790222"
"jitter","99.50980687141418"
"end time","99.50981998443604"
"keypress=left","104.01096487045288"
"wait","104.51088690757751"
"jitter","105.511305809021"
"end time","105.51132202148438"
"keypress=right","110.01403594017029"
"wait","110.5132098197937"
"jitter","111.51377081871033"
"end time","111.51378393173218"
"keypress=left","116.0157380104065"
"wait","116.51556396484375"
"jitter","117.51587700843811"
"end time","117.51588988304138"
"keypress=right","120.01772594451904"
"wait","120.51770186424255"
"jitter","121.51803684234619"
"end time","121.51804995536804"
"keypress=left","126.01970100402832"
"wait","126.51966786384583"
"jitter","127.51994800567627"
"end time","127.51996088027954"
"wait","129.52124691009521"
"jitter","130.52081489562988"
"end time","130.52082681655884"
"keypress=right","133.02176880836487"
"wait","133.52170491218567"
"jitter","134.5229480266571"
"end time","134.52295994758606"
"keypress=left","137.02368593215942"
"wait","137.52308702468872"
"jitter","138.52387690544128"
"end time","138.52389001846313"
"keypress=right","143.00864386558533"
"wait","143.50871086120605"
"jitter","144.50897884368896"
"end time","144.50899195671082"
"keypress=left","147.00974988937378"
"wait","147.5097668170929"
"jitter","148.51043391227722"
"end time","148.51044702529907"
"keypress=right","152.01289296150208"
"wait","152.51230096817017"
"jitter","153.5124638080597"
"end time","153.51247787475586"
"keypress=left","156.01333093643188"
"wait","156.51319789886475"
"jitter","157.51424384117126"
"end time","157.5142548084259"
"keypress=right","160.01488590240479"
"wait","160.51471996307373"
"jitter","161.51652002334595"
"end time","161.51653289794922"
"keypress=left","166.01777482032776"
"wait","166.51775884628296"
"jitter","167.5178029537201"
"end time","167.51781582832336"
"keypress=right","170.01864981651306"
"wait","170.51894688606262"
"jitter","171.5199329853058"
"end time","171.51994490623474"
"keypress=left","175.0210018157959"
"wait","175.52101492881775"
"jitter","176.52096486091614"
"end time","176.520977973938"
"keypress=right","179.0217900276184"
"wait","179.5217559337616"
"jitter","180.52225589752197"
"end time","180.52226901054382"
"keypress=left","185.0247700214386"
"wait","185.5243170261383"
"jitter","186.52538681030273"
"end time","186.52539896965027"
"keypress=right","191.01023697853088"
"wait","191.51026701927185"
"jitter","192.50990796089172"
"end time","192.50991988182068"
"keypress=left","195.0109829902649"
"wait","195.51081490516663"
"jitter","196.51085901260376"
"end time","196.51087284088135"
"keypress=right","201.0129988193512"
"wait","201.51350784301758"
"jitter","202.5141749382019"
"end time","202.5142068862915"
"keypress=left","205.01491403579712"
"wait","205.5148458480835"
"jitter","206.51588201522827"
"end time","206.51589488983154"
"keypress=right","210.01672887802124"
"wait","210.51665091514587"
"jitter","211.5161108970642"
"end time","211.5161168575287"
"keypress=left","215.01866102218628"
"wait","215.51901483535767"
"jitter","216.51882100105286"
"end time","216.5188329219818"
"keypress=right","221.02077984809875"
"wait","221.52078199386597"
"jitter","222.5214819908142"
"end time","222.52149486541748"
"keypress=left","226.0227448940277"
"wait","226.5220868587494"
"jitter","227.52287983894348"
"end time","227.52289199829102"
"keypress=right","232.02477598190308"
"wait","232.52530193328857"
"jitter","233.52490496635437"
"end time","233.52491688728333"
"keypress=left","238.00981402397156"
"wait","238.50975489616394"
"jitter","239.51040291786194"
"end time","239.51041197776794"
"keypress=right","244.0128948688507"
"wait","244.51221203804016"
"jitter","245.5126669406891"
"end time","245.51267886161804"
"keypress=right","250.0141990184784"
"wait","250.51458597183228"
"jitter","251.51455283164978"
"end time","251.51457381248474"
"keypress=left","256.01675295829773"
"wait","256.516695022583"
"jitter","257.5171148777008"
"end time","257.51712799072266"
"wait","257.9172728061676"
"jitter","257.93414998054504"
"end time","257.93416380882263"
"wait","258.3177499771118"
"jitter","258.5176248550415"
"end time","258.51763701438904"
"keypress=right","263.0188899040222"
"wait","263.5201528072357"
"jitter","264.52012395858765"
"end time","264.5201358795166"
